,winner_name,loser_name,winner_rank,loser_rank,winner_serve_rating,loser_serve_rating,winner_return_rating,loser_return_rating,rank_diff,serve_diff,return_diff
0,Frances Tiafoe,Lorenzo Musetti,2310.0,1470.0,282.3,265.3,137.8,152.4,840.0,17.0,-14.599999999999994
1,Taylor Fritz,Hubert Hurkacz,3100.0,3245.0,288.6,295.5,145.4,124.6,-145.0,-6.899999999999977,20.80000000000001
2,Stefanos Tsitsipas,Borna Coric,4235.0,1135.0,292.0,264.0,133.5,125.6,3100.0,28.0,7.900000000000006
3,Cameron Norrie,Taylor Fritz,1940.0,3100.0,270.6,288.6,147.0,145.4,-1160.0,-18.0,1.5999999999999943
4,Frances Tiafoe,Daniel Evans,2310.0,1131.0,282.3,260.8,137.8,136.7,1179.0,21.5,1.1000000000000227
5,Stefanos Tsitsipas,Grigor Dimitrov,4235.0,2570.0,292.0,276.6,133.5,146.0,1665.0,15.399999999999977,-12.5
6,Hubert Hurkacz,Stan Wawrinka,3245.0,942.0,295.5,274.8,124.6,131.2,2303.0,20.69999999999999,-6.599999999999994
7,Hubert Hurkacz,Alexander Bublik,3245.0,1369.0,295.5,269.6,124.6,128.7,1876.0,25.899999999999977,-4.099999999999994
8,Stan Wawrinka,Alexander Bublik,942.0,1369.0,274.8,269.6,131.2,128.7,-427.0,5.199999999999989,2.5
9,Taylor Fritz,Alexander Zverev,3100.0,3585.0,288.6,283.0,145.4,141.1,-485.0,5.600000000000023,4.300000000000011
10,Taylor Fritz,Jiri Lehecka,3100.0,1372.0,288.6,272.4,145.4,131.2,1728.0,16.200000000000045,14.200000000000017
11,Jiri Lehecka,Alexander Zverev,1372.0,3585.0,272.4,283.0,131.2,141.1,-2213.0,-10.600000000000023,-9.900000000000006
12,Borna Coric,Arthur Rinderknech,1135.0,656.0,264.0,275.1,125.6,125.0,479.0,-11.100000000000023,0.5999999999999943
13,Arthur Rinderknech,Francisco Cerundolo,656.0,1760.0,275.1,256.9,125.0,151.6,-1104.0,18.200000000000045,-26.599999999999994
14,Borna Coric,Francisco Cerundolo,1135.0,1760.0,264.0,256.9,125.6,151.6,-625.0,7.100000000000023,-26.0
15,Novak Djokovic,Sebastian Korda,9945.0,1530.0,292.2,281.2,158.4,137.7,8415.0,11.0,20.700000000000017
16,Novak Djokovic,Daniil Medvedev,9945.0,7200.0,292.2,277.6,158.4,163.7,2745.0,14.599999999999966,-5.299999999999983
17,Sebastian Korda,Yoshihito Nishioka,1530.0,955.0,281.2,258.0,137.7,137.9,575.0,23.19999999999999,-0.20000000000001705
18,Daniil Medvedev,Karen Khachanov,7200.0,2520.0,277.6,279.3,163.7,146.7,4680.0,-1.6999999999999886,17.0
