Player,PlayerIOC,Surface,Matches,EloRank,Elo,EloRankSurface,Wins,Losses,WinPercentage,Titles,PointsWonPercentage,GamesWonPercentage,SetsWonPercentage,DecSets,DecSetWins,DecSetWinPercentage,TieBreaks,TieBreaksWon,TieBreaksWonPercentage,ServiceGamesWonPercentage,ReturnGamesWonPercentage,EloServeRank,EloServe,FirstServePercentage,FirstServeWonPercentage,SecondServeWonPercentage,ServicePointsWonPercentage,Aces,AcePercentage,AcesPerServiceGame,DoubleFaultPercentage,DoubleFaultsPerServiceGame,AcesPerDoubleFault,BreakPointsFacedPerServiceGame,BreakPointsSavedPercentage,EloReturnRank,EloReturn,FirstServeReturnPointsWonPercentage,SecondServeReturnPointsWonPercentage,ReturnPointsWonPercentage,AceAgainstPercentage,AcesAgainstPerReturnGame,BreakPointChancesPerReturnGame,BreakPointsConvertedPercentage
Carlos Alcaraz,ESP,All,75,1,2183,,64,11,0.85333,6,0.53877,0.58596,0.78421,18,13,0.72222,27,19,0.7037,0.85666,0.31342,7,1666,0.65573,0.72069,0.56065,0.66559,278,0.04982,0.31131,0.02957,0.18477,1.68485,0.41657,0.65591,2,1650,0.35112,0.5338,0.42032,0.04637,0.31229,0.76325,0.41064
Novak Djokovic,SRB,All,71,2,2142,,64,7,0.90141,8,0.55563,0.60283,0.84043,13,9,0.69231,42,35,0.83333,0.89357,0.29896,5,1707,0.64527,0.77885,0.57601,0.7069,444,0.08144,0.49224,0.03118,0.18847,2.61176,0.31707,0.66434,1,1668,0.33405,0.55586,0.41605,0.08395,0.57474,0.7022,0.42574
Daniil Medvedev,RUS,All,82,3,2056,,64,18,0.78049,6,0.53628,0.58201,0.72414,21,12,0.57143,30,16,0.53333,0.85067,0.31417,16,1640,0.64604,0.75502,0.49199,0.66191,608,0.09849,0.62616,0.052,0.33059,1.89408,0.43563,0.65721,3,1643,0.3335,0.54608,0.41237,0.03707,0.23819,0.66427,0.47295
Jannik Sinner,ITA,All,70,4,2002,,51,19,0.72857,2,0.53877,0.57814,0.70175,19,11,0.57895,17,9,0.52941,0.85605,0.29481,14,1641,0.5795,0.75873,0.55667,0.67377,381,0.08035,0.48535,0.02805,0.16943,2.86466,0.42038,0.65758,5,1630,0.32984,0.54797,0.41322,0.06746,0.44675,0.69091,0.42669
Holger Rune,DEN,All,78,5,1968,,59,19,0.75641,3,0.51807,0.54171,0.6875,25,16,0.64,37,26,0.7027,0.85863,0.2228,22,1626,0.6331,0.73859,0.54483,0.6675,398,0.06647,0.41372,0.04693,0.2921,1.41637,0.40644,0.65217,46,1548,0.28788,0.50577,0.37146,0.06505,0.41527,0.54603,0.40805
Andrey Rublev,RUS,All,78,6,1956,,55,23,0.70513,3,0.52251,0.54663,0.64593,23,14,0.6087,31,18,0.58065,0.8432,0.24651,29,1615,0.61017,0.75987,0.51686,0.66514,600,0.09504,0.59172,0.02408,0.1499,3.94737,0.41026,0.61779,16,1583,0.30357,0.52531,0.38636,0.07984,0.52695,0.63273,0.38959
Alexander Zverev,GER,All,63,7,1939,,42,21,0.66667,1,0.51807,0.53481,0.61491,13,9,0.69231,26,13,0.5,0.8377,0.23545,12,1645,0.69003,0.74593,0.48019,0.66356,475,0.10057,0.62173,0.04383,0.27094,2.29469,0.42932,0.62195,12,1597,0.29243,0.52027,0.38031,0.05894,0.38034,0.63389,0.37143
Stefanos Tsitsipas,GRE,All,78,8,1931,,55,23,0.70513,1,0.52375,0.54349,0.65672,24,14,0.58333,52,30,0.57692,0.88957,0.19275,8,1654,0.65053,0.78309,0.55442,0.70318,550,0.09339,0.56237,0.02513,0.15133,3.71622,0.31493,0.64935,78,1534,0.2679,0.48701,0.34595,0.06764,0.41658,0.49223,0.39158
Taylor Fritz,USA,All,87,9,1920,,61,26,0.70115,3,0.52815,0.54914,0.65158,33,18,0.54545,49,28,0.57143,0.86486,0.22498,19,1628,0.60164,0.78732,0.53639,0.68736,768,0.12102,0.74131,0.02742,0.16795,4.41379,0.38514,0.64912,25,1567,0.28477,0.51998,0.37263,0.06849,0.44103,0.53221,0.42272
Alex De Minaur,AUS,All,71,10,1906,,47,24,0.66197,1,0.52103,0.54751,0.59887,20,15,0.75,19,9,0.47368,0.804,0.29272,62,1572,0.56385,0.72028,0.53563,0.63975,192,0.04059,0.256,0.03636,0.22933,1.11628,0.50933,0.61518,6,1625,0.33609,0.52006,0.40805,0.06056,0.39868,0.68477,0.42747
